state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
IL,0.86,13.57,94.29,347.71,819,1403.86,2048.14,2757.71,3558.14,4322.71,4950.86,5509.14,6105.71,6578.14,6905.14,7121.14,7268,7403.86,7510.43,7624.29,7739.29,7872.14,7999,8139.57,8277,8426.43,8579.29,8723.86,8885.86,9081.71,9280,9539.86,9829,10142.57,10621.86,11268.29,12193.43,13103.57,14294.57,15494.86,16565.14,17512.86,18454.71,19403.71,20132.86,20783,21304,21778.86,22160.14,22496.57,22776.71,23030,23221.43,23372.86
IN,1,13,55.57,189.29,440.57,693.71,968.43,1290.14,1546.86,1792.71,1995.29,2163.71,2320.43,2439.57,2554,2629.43,2706.86,2768.71,2837,2912.86,2986.71,3057.71,3149.29,3233.86,3302.57,3375.86,3449.14,3516.29,3600.43,3694.29,3807,3971.14,4166.29,4398,4676.86,4978.43,5369,5790.71,6339.14,6903.57,7485.86,7967.71,8571.29,9046.86,9395.86,9758.57,10233.86,11871.43,12198.86,12407.29,12596.29,12749,12866.57,12951
IA,0,0.43,6.14,21.29,43.86,80.14,130,196.29,277.71,367,469.86,554.14,619.43,663,689.29,711.29,728.71,760,801.14,839.29,886.86,938.57,991.14,1053.43,1121,1179.57,1232.29,1281.71,1333,1401.43,1481.29,1559.86,1661.57,1759,1879.86,2037.43,2243.71,2447.14,2833.57,3288.71,3603.14,3786.14,3986.57,4176.14,4342.29,4494.71,4851.71,5129.71,5260.29,5376.43,5487.14,5574.29,5650,5682.86
KS,1,2.29,8.71,28.29,64.14,99.29,124.86,151.29,174.71,192,203,218.57,237,246.14,259.29,274.43,288.14,301.29,317.43,340.86,365.29,387.86,412,435.43,455,487.57,551.71,610.43,650.14,710.43,791.14,893.57,985,1051.14,1185.14,1278.86,1450.71,1580.71,1850.29,2134.29,2419,2585.57,2926.43,3237.71,3532.57,3639.57,3820.71,4186.14,4421.57,4653.71,4760.43,4824.29,4830.86,4855.43
KY,0.71,3.43,15.57,56.14,108.29,162.86,220.57,269.86,323,361.71,407.14,448.43,489.86,529.86,552.29,585.86,621.29,658.14,694.43,729.29,764.57,798.29,846.71,911.14,975.43,1043.14,1107.14,1146.29,1198,1249.86,1307.86,1390.14,1487,1570.71,1660.29,1772.29,1919.57,2078.14,2293.86,2484.29,2702,2874.43,3060.57,3265.71,3474,3733.86,4008.71,4267,4473.29,4630.57,4810.14,4982.14,5192.86,5848.57
LA,4,39.14,202.86,529.57,936.71,1377.14,1769,2075.57,2319,2542.71,2699.29,2818.71,2947,3029.29,3122.86,3213.14,3307.57,3430.43,3585.29,3799.86,4031.71,4291.43,4527.57,4772.29,4956.86,5098.14,5253.43,5376.71,5479,5579.71,5667.86,5761.57,5857.29,5945.57,6047,6150.29,6290.43,6441.29,6621,6855.57,7113.29,7357.71,7591.71,7932.86,8252.14,8596.14,8910.86,9146.57,9327.29,9487.86,9630.14,9763.86,9909,10022.86
ME,0,0,3.86,11.57,20.71,35.57,50.57,58.57,65.14,71.29,78.86,90.86,99.14,100.86,102.29,104.43,108.71,113.29,117.14,119.86,123.43,125.29,127,130.86,132.29,134,136.29,139.43,140.57,142,143.14,145.86,146,148,154.29,166,181.29,202.57,233.71,261.57,298.43,328.71,364.29,441.57,513.43,551.71,602.86,636.86,649.71,666.86,703.14,712.71,724.71,729.57
MD,0.29,3.29,18.29,89,293,608,965.86,1339.57,1704.57,2035.14,2311.71,2566.43,2785.29,2958,3078.71,3178.43,3253.86,3325.57,3386,3452.29,3522,3593.43,3646.71,3698.57,3756.29,3805,3843.71,3887.57,3937,3963.57,4007,4046.29,4102,4158.14,4224.43,4319.29,4463,4655.57,4887.29,5174,5486.14,5762.43,6045.29,6322.14,6610.29,6912.86,7160.43,7380.43,7582.29,7739.57,7884,7970.43,8066.14,8181.43
MA,0,9.71,78.29,313,885,1854.57,3044,4120,5081,5872.57,6425.71,6972.14,7363.86,7650,7877.71,8067.71,8203.71,8335.57,8441,8542.71,8646.86,8745.14,8846.86,8949.71,9052.86,9132.43,9219.29,9318.29,9420.29,9528.14,9619.14,9751.86,9882.43,10026.29,10182.86,10347,10537,10751,11050.43,11402.14,11771,12174.29,12669,13211.57,13704.71,14176.29,14614.71,15061.86,15522.71,15855.71,16154.71,16437.71,16670.14,16898.71
MI,0.57,23.57,221.57,749,1649.29,2553.86,3443,4120.29,4604.14,4959.57,5260.14,5518.57,5921.57,6028.57,6103.57,6176.57,6240.71,6322.71,6377.71,6415.86,6472.14,6532.29,6599.86,6672.43,6759.14,6832.86,6925.57,6987,7061.14,7147,7243.14,7371.57,7560.29,7736.14,8028.14,8472.57,8984.57,9638.14,10481.14,11354,12183.29,12783.43,13443.14,14209.29,14705.29,15211.14,15558,15875.86,16126.43,16348.86,16512.71,16660.29,16777,16914.71
MN,0,1,10.71,32.57,74.43,149.71,283.71,437.29,597.86,747.57,901,1065.29,1217.14,1337.14,1417.57,1468.71,1512.86,1546.29,1585.43,1618.57,1657.57,1704.43,1762.29,1822.57,1870.86,1913.43,1972.86,2023.29,2070.29,2137.29,2205.43,2300.14,2412.71,2545,2739.14,2994.57,3329.71,3667.43,4071.57,4526.57,4936.43,5236.86,5509.29,5784.57,6002,6162,6275.43,6372.71,6447.86,6500.43,6557.14,6683.86,6816.29,6857
MS,0.14,2.29,17,51.43,104.43,171,233.71,328.14,442.43,536.57,641,749.86,835.86,907.43,974.71,1057.43,1140.71,1259.14,1377,1522.29,1736,1924.86,2111.86,2289.43,2472.71,2594.29,2718.29,2830.14,2935.71,3026.86,3112.14,3189.86,3272.29,3363.43,3461.29,3564,3698.29,3818.14,3989.71,4224.71,4449,4660,4922.86,5222.14,5545.29,5818.29,6082,6303.71,6481.71,6569.71,6700,6821,6912.29,6965.29
MO,0.29,4.86,15.57,64,136.86,211.43,303,397,518.14,618,695.14,785.14,840.29,907,986.14,1033,1074.14,1125.71,1173.43,1248.71,1322.71,1395,1462.14,1540.57,1635.71,1739.71,1821.14,1956.14,2133,2261.14,2505.29,2660.14,2882,3113.57,3308.29,3517.71,3779,4059.86,4511.86,4872.71,5378.29,5728.29,6030.43,6408.57,6716.29,7020.86,7302,7604.29,7909.71,8223.43,8437,8658.43,8782.29,8850.14
